activity,session,n_rows,approx_fs_hz,duration_s,n_windows
walking,2026-03-04_14-00-18,915,100.6,9.1,17
walking,2026-03-04_14-00-37,942,100.6,9.37,17
walking,2026-03-04_14-00-52,925,100.6,9.2,17
walking,2026-03-04_14-01-07,1010,100.6,10.04,19
walking,2026-03-04_14-01-30,892,100.6,8.87,16
walking,2026-03-04_14-01-42,901,100.6,8.96,17
walking,2026-03-04_14-01-59,943,100.6,9.38,17
walking,2026-03-04_14-02-19,948,100.6,9.43,17
walking,2026-03-04_14-02-37,941,100.5,9.36,17
walking,2026-03-04_14-02-53,1027,100.6,10.21,19
walking,2026-03-04_14-03-55,1015,100.5,10.09,19
walking,2026-03-04_14-04-11,929,100.6,9.24,17
walking,2026-03-04_14-04-36,919,100.6,9.13,17
walking,2026-03-04_14-04-56,873,100.6,8.68,16
walking,2026-03-04_14-06-35,927,100.6,9.22,17
walking,2026-03-04_14-07-00,1004,100.6,9.98,19
walking,2026-03-04_14-07-26,966,100.5,9.61,18
walking,2026-03-04_14-07-41,865,100.6,8.6,16
standing,2026-03-04_13-51-15,1006,100.6,10.0,19
standing,2026-03-04_13-51-29,926,100.6,9.2,17
standing,2026-03-04_13-51-41,891,100.6,8.86,16
standing,2026-03-04_13-52-06,926,100.6,9.21,17
standing,2026-03-04_13-52-17,931,100.6,9.25,17
standing,2026-03-04_13-52-34,857,100.6,8.52,16
standing,2026-03-04_13-52-45,936,100.6,9.3,17
standing,2026-03-04_13-52-56,927,100.6,9.22,17
standing,2026-03-04_13-53-07,879,100.6,8.74,16
standing,2026-03-04_13-53-18,919,100.6,9.13,17
standing,2026-03-04_13-56-43,947,100.6,9.42,17
standing,2026-03-04_13-56-54,890,100.6,8.85,16
standing,2026-03-04_13-57-05,910,100.6,9.05,17
standing,2026-03-04_13-57-37,918,100.6,9.12,17
standing,2026-03-04_13-57-47,1049,100.6,10.43,19
standing,2026-03-04_13-57-59,884,100.6,8.79,16
standing,2026-03-04_13-58-09,902,100.6,8.97,17
standing,2026-03-04_13-58-23,808,100.6,8.03,15
jumping,Jumping_1-2026-03-04_16-14-35,445,51.9,8.57,7
jumping,Jumping_10-2026-03-04_16-22-19,485,51.9,9.34,8
jumping,Jumping_11-2026-03-04_16-30-13,531,51.9,10.23,9
jumping,Jumping_12-2026-03-04_16-30-42,438,51.9,8.44,7
jumping,Jumping_13-2026-03-04_16-31-05,409,51.9,7.88,7
jumping,Jumping_14-2026-03-04_16-31-36,406,51.9,7.82,7
jumping,Jumping_15-2026-03-04_16-32-02,402,51.9,7.74,7
jumping,Jumping_16-2026-03-04_16-32-46,405,51.9,7.8,7
jumping,Jumping_17-2026-03-04_16-33-08,424,51.9,8.17,7
jumping,Jumping_18-2026-03-04_16-33-28,436,51.9,8.4,7
jumping,Jumping_2-2026-03-04_16-15-28,430,51.9,8.28,7
jumping,Jumping_3-2026-03-04_16-16-46,463,51.9,8.92,8
jumping,Jumping_4-2026-03-04_16-17-42,456,51.9,8.78,8
jumping,Jumping_5-2026-03-04_16-18-44,457,51.9,8.8,8
jumping,Jumping_6-2026-03-04_16-19-14,479,51.9,9.23,8
jumping,Jumping_7-2026-03-04_16-20-00,423,51.9,8.15,7
jumping,Jumping_8-2026-03-04_16-20-35,412,51.9,7.93,7
jumping,Jumping_9-2026-03-04_16-21-23,458,51.9,8.82,8
still,Still_1-2026-03-04_16-41-47,433,51.9,8.34,7
still,Still_10-2026-03-04_16-49-45,429,51.9,8.26,7
still,Still_11-2026-03-04_16-53-37,432,51.9,8.32,7
still,Still_12-2026-03-04_16-54-17,412,51.9,7.93,7
still,Still_13-2026-03-04_16-54-40,438,51.9,8.44,7
still,Still_14-2026-03-04_16-55-03,420,51.9,8.09,7
still,Still_15-2026-03-04_16-55-27,391,51.9,7.53,6
still,Still_16-2026-03-04_16-55-48,422,51.9,8.13,7
still,Still_17-2026-03-04_16-56-11,407,51.9,7.84,7
still,Still_18-2026-03-04_16-56-41,440,51.9,8.47,7
still,Still_2-2026-03-04_16-45-41,432,51.9,8.32,7
still,Still_3-2026-03-04_16-46-00,444,51.9,8.55,7
still,Still_4-2026-03-04_16-46-34,402,51.9,7.74,7
still,Still_5-2026-03-04_16-47-02,411,51.9,7.91,7
still,Still_6-2026-03-04_16-47-33,414,51.9,7.97,7
still,Still_7-2026-03-04_16-48-22,396,51.9,7.62,6
still,Still_8-2026-03-04_16-48-50,446,51.9,8.59,7
still,Still_9-2026-03-04_16-49-15,447,51.9,8.61,7
